Calories,Gender,Age,Duration,Heart_Rate,Body_Temp
231.0,1,68,29.0,105.0,40.8
66.0,0,20,14.0,94.0,40.3
26.0,1,69,5.0,88.0,38.7
71.0,0,34,13.0,100.0,40.5
35.0,0,27,10.0,81.0,39.8
123.0,0,36,23.0,96.0,40.7
112.0,0,33,22.0,95.0,40.5
143.0,1,41,25.0,100.0,40.7
134.0,1,60,21.0,97.0,40.4
72.0,0,26,16.0,90.0,40.2
3.0,0,36,1.0,74.0,37.8
92.0,0,21,17.0,100.0,40.0
58.0,1,66,11.0,90.0,40.0
88.0,0,32,18.0,93.0,40.4
7.0,1,53,2.0,82.0,38.1
170.0,0,39,28.0,104.0,40.8
11.0,1,39,4.0,82.0,38.6
43.0,1,46,11.0,89.0,40.2
15.0,0,27,4.0,85.0,38.6
74.0,1,50,14.0,94.0,40.2
29.0,1,67,8.0,77.0,39.2
32.0,0,31,8.0,84.0,39.5
10.0,0,33,3.0,80.0,38.7
155.0,0,20,29.0,100.0,41.0
3.0,1,48,1.0,80.0,37.7
24.0,1,29,10.0,83.0,39.7
12.0,1,33,7.0,78.0,39.3
10.0,1,42,3.0,83.0,38.9
195.0,0,62,29.0,106.0,41.2
5.0,1,38,2.0,81.0,38.2
69.0,1,20,16.0,97.0,40.5
136.0,0,25,24.0,102.0,40.3
80.0,0,24,18.0,91.0,40.2
107.0,0,42,22.0,93.0,40.8
200.0,1,22,29.0,114.0,41.0
56.0,0,74,10.0,93.0,39.6
50.0,0,70,10.0,88.0,40.0
100.0,0,26,21.0,96.0,40.5
200.0,1,44,25.0,114.0,40.8
4.0,1,61,1.0,81.0,38.3
70.0,0,68,13.0,92.0,40.1
127.0,0,61,20.0,104.0,40.5
197.0,1,63,25.0,108.0,40.8
113.0,0,54,20.0,98.0,40.1
11.0,0,54,3.0,80.0,38.9
82.0,0,47,16.0,93.0,40.5
26.0,1,33,8.0,86.0,39.9
141.0,0,24,24.0,105.0,40.6
92.0,1,24,20.0,96.0,40.6
5.0,1,48,2.0,79.0,38.0
30.0,1,35,10.0,83.0,39.7
3.0,1,21,3.0,78.0,38.5
37.0,0,21,9.0,90.0,39.6
147.0,0,22,25.0,105.0,40.6
8.0,0,69,2.0,80.0,38.1
159.0,1,53,21.0,106.0,40.7
93.0,0,68,15.0,100.0,40.3
173.0,0,69,23.0,113.0,40.4
89.0,1,28,19.0,95.0,40.6
31.0,1,70,7.0,82.0,39.3
35.0,0,36,9.0,84.0,39.6
94.0,0,77,16.0,98.0,40.6
49.0,0,32,9.0,99.0,39.7
54.0,0,62,13.0,84.0,40.4
117.0,0,64,20.0,97.0,40.4
173.0,1,45,27.0,104.0,40.6
99.0,1,45,20.0,97.0,40.7
45.0,0,22,10.0,93.0,39.8
166.0,1,45,22.0,113.0,40.6
202.0,0,66,28.0,111.0,40.9
107.0,1,31,20.0,101.0,40.9
199.0,0,57,29.0,109.0,40.7
25.0,1,53,5.0,90.0,39.1
23.0,0,22,8.0,77.0,39.5
200.0,1,67,24.0,108.0,40.7
6.0,0,27,2.0,76.0,38.2
7.0,1,57,2.0,79.0,38.1
113.0,0,49,20.0,99.0,40.6
188.0,0,39,29.0,108.0,40.7
103.0,1,47,20.0,96.0,40.3
128.0,1,62,17.0,103.0,40.3
130.0,1,41,23.0,99.0,40.7
27.0,0,34,7.0,83.0,39.3
185.0,0,40,27.0,111.0,41.2
57.0,0,55,11.0,92.0,39.8
65.0,1,44,13.0,94.0,40.0
91.0,0,45,16.0,99.0,40.4
120.0,0,49,19.0,105.0,40.4
70.0,0,46,12.0,101.0,40.1
39.0,1,25,9.0,94.0,39.8
136.0,1,68,22.0,95.0,40.5
77.0,0,25,14.0,101.0,40.2
42.0,0,31,9.0,93.0,39.5
